age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level
14,male,7.9,Instagram,7.4,2.9,3.01,1.5,low,2
19,female,1.9,TikTok,8.0,2.9,3.22,0.8,high,8
17,female,1.3,Instagram,7.6,0.5,3.92,0.0,high,2
15,male,7.4,TikTok,6.9,1.6,3.48,0.8,medium,1
15,female,4.7,Both,4.9,3.0,2.37,1.4,medium,3
19,female,7.4,Both,4.4,2.4,2.63,0.6,high,3
18,female,2.5,Instagram,6.4,2.4,2.63,0.7,low,2
16,male,4.0,Both,4.2,0.5,2.4,1.3,low,6
19,female,3.3,TikTok,5.0,2.1,2.04,0.9,high,1
15,male,1.9,TikTok,4.9,1.5,3.77,1.1,high,1
16,male,7.2,Both,5.8,2.9,3.16,1.2,medium,5
13,male,4.9,Instagram,4.7,2.5,3.92,1.2,low,1
16,male,6.2,Both,7.2,2.6,2.02,1.7,medium,5
17,female,6.8,TikTok,5.7,1.1,3.29,1.3,medium,1
15,male,5.7,TikTok,5.9,0.8,3.5,0.7,low,1
14,female,3.6,Both,5.3,0.6,2.99,0.3,high,4
13,male,1.5,Both,4.2,1.4,2.59,0.5,high,4
16,male,3.1,Both,6.1,0.8,2.11,1.9,high,10
16,female,6.7,Both,6.8,1.9,3.08,1.4,high,10
14,female,1.2,Instagram,7.6,1.0,3.85,0.8,high,8
16,male,3.4,TikTok,4.6,2.1,2.24,0.4,high,4
18,male,4.1,Both,7.4,2.4,2.38,1.5,medium,8
18,male,5.3,Instagram,4.9,1.2,3.69,1.2,low,5
18,female,2.3,TikTok,7.6,0.5,2.96,1.7,medium,9
18,female,2.4,Both,6.7,1.9,2.53,0.4,high,8
13,female,1.5,Both,7.2,2.5,2.15,1.3,medium,4
14,female,5.7,Both,8.7,0.6,2.64,0.1,low,8
19,male,2.0,TikTok,7.1,0.9,3.26,1.6,high,7
14,male,2.5,TikTok,5.6,2.9,2.24,0.5,low,3
16,female,3.4,TikTok,7.8,2.8,3.83,1.8,medium,6
13,male,6.6,TikTok,5.7,2.5,2.67,1.1,low,2
13,female,1.6,Instagram,8.7,2.5,3.69,0.4,high,8
16,male,2.7,Instagram,4.2,2.4,3.05,0.2,high,1
14,male,4.1,TikTok,8.0,3.0,2.31,0.8,low,8
13,female,6.6,TikTok,7.3,1.6,3.27,0.1,medium,10
17,female,5.0,Both,4.9,2.1,2.01,1.0,low,9
19,female,4.6,Instagram,5.5,2.5,3.96,0.8,high,3
17,female,4.8,Instagram,4.4,1.3,2.02,0.5,low,5
17,female,1.3,TikTok,8.0,2.0,2.84,1.8,high,1
17,female,6.3,Instagram,4.0,1.0,2.43,1.2,high,1
14,male,6.4,Instagram,5.7,0.9,2.06,1.8,high,10
19,male,1.6,Instagram,8.6,2.4,3.81,0.4,low,10
14,female,7.3,Instagram,7.7,1.4,3.42,0.3,medium,6
15,male,4.0,Both,8.8,1.3,3.59,1.9,medium,10
14,male,5.2,Both,4.1,2.1,3.07,0.2,medium,9
14,female,4.5,TikTok,4.8,0.9,2.22,0.8,low,1
18,male,6.8,TikTok,8.6,1.1,2.36,1.6,high,1
13,female,3.5,Instagram,5.1,1.1,2.27,1.8,medium,2
16,male,2.3,TikTok,6.3,3.0,3.24,1.9,medium,4
14,male,1.2,Instagram,8.5,1.8,3.65,1.8,high,5
13,male,6.2,Both,7.1,2.2,3.43,0.2,medium,5
18,male,4.5,TikTok,4.1,1.9,3.42,0.1,medium,6
18,male,2.9,Instagram,4.5,2.5,3.16,1.3,low,3
13,female,5.8,TikTok,8.5,2.3,3.3,1.9,high,1
18,male,6.8,Instagram,6.5,2.7,2.97,1.9,low,4
15,female,7.4,Instagram,8.6,0.9,2.3,0.0,low,1
18,male,4.5,TikTok,5.0,2.5,2.65,0.7,medium,8
16,male,6.4,TikTok,5.3,2.4,2.03,1.7,medium,7
13,male,7.3,Both,4.2,1.3,2.16,1.0,high,4
17,female,7.1,Instagram,5.6,0.6,3.07,1.0,medium,1
18,male,1.6,TikTok,5.1,2.7,3.57,0.8,high,3
15,female,1.5,Instagram,4.7,1.0,3.82,0.6,medium,6
13,male,4.3,Both,5.8,0.7,3.15,0.1,medium,7
17,male,2.5,Both,6.7,2.0,2.56,1.7,high,5
19,female,7.9,TikTok,5.1,1.7,2.8,0.8,low,6
17,male,2.7,Instagram,8.0,2.6,3.53,1.9,high,1
13,male,3.1,TikTok,8.2,1.5,2.45,0.3,low,5
17,male,5.8,Both,7.6,0.7,2.83,1.0,medium,7
14,female,3.9,Both,7.0,2.8,2.8,0.1,low,8
15,male,7.5,Both,7.0,0.9,3.48,1.1,high,2
14,male,5.2,Both,6.7,2.0,3.48,1.0,medium,2
16,female,3.1,TikTok,5.0,1.1,2.73,1.6,low,2
16,female,2.0,Instagram,8.7,1.2,3.0,0.0,low,8
14,male,2.7,Instagram,8.4,1.3,2.01,0.6,low,6
14,male,1.5,Both,4.3,2.1,3.9,1.5,low,10
17,female,6.9,Instagram,8.2,0.8,2.36,0.0,medium,10
13,male,1.1,TikTok,7.1,1.8,2.55,0.8,high,5
13,male,3.4,TikTok,4.4,0.6,3.41,0.2,low,8
15,male,6.7,Both,4.5,2.1,3.71,1.3,high,3
18,male,1.1,Both,7.2,1.0,3.13,0.6,medium,2
18,female,7.4,Instagram,7.5,2.3,2.39,0.9,high,4
19,female,4.8,TikTok,6.0,1.5,2.61,1.2,high,2
14,male,1.2,Both,5.2,2.2,2.19,1.9,medium,9
13,male,7.4,Instagram,5.6,1.4,2.95,1.7,high,8
16,female,2.6,Both,8.6,1.3,3.64,1.6,high,5
17,female,5.0,Both,9.0,2.5,3.4,0.9,high,8
18,male,7.5,Instagram,7.4,1.8,3.47,0.0,low,9
17,female,5.4,Both,5.7,2.5,3.13,1.9,medium,5
17,female,5.6,Instagram,5.3,1.7,2.77,0.9,medium,8
18,male,6.2,Instagram,4.1,2.8,3.41,1.1,medium,7
17,female,4.7,Instagram,4.7,2.4,3.94,0.0,medium,10
18,female,4.0,Instagram,4.6,2.2,3.7,0.6,medium,4
